城市,代码
苏右旗,
朱日和,
阿城,acheng
昂昂溪,angangxiqu
爱民,aiminqu
安达,anda
爱辉,aihui
安图,antu
鞍山,anshan
阿旗,aluqi
敖汉,aohan
阿鲁科尔沁旗,alukeer
阿巴嘎,abaga
阿荣旗,arongqi
阿尔山,aershan
阿拉善盟,alashanmeng
阿拉善左旗,alashanzuoqi
阿拉善右旗,alashanyouqi
安新,anxin
安国,anguo
安次,anciqu
安平,anping
安泽,anze
安塞,ansai
安康,ankang
安丘,anqiu
阿拉尔,alaer
阿克苏,akesu
阿瓦提,awati
阿瓦提,awat
阿勒泰,aletai
阿图什,atushi
阿克陶,aketao
阿合奇,aheqi
阿拉山口,alashankou
昂仁,angren
安多,anduo
阿里,ali
安宁,anningqu
安定,anding
阿克塞,akesai
安阳,anyang
安阳,anyangxian
安陆,anlu
安吉,anji
安庆,anqing
安溪,anxi
安义,anyi
安福,anfu
安远,anyuan
安源,anyuanqu
安仁,anren
安乡,anxiang
安化,anhua
安顺,anshun
安龙,anlong
安县,anxian
安州,anzhouqu
安居,anjuqu
安岳,anyue
阿坝,aba
安宁,anning
都安,andu
澳门,aomen
新城,aomenxincheng
北京,beijing
宝山,baoshan
宝坻,baodi
北辰,beichen
滨海,binhaixinqu
北碚,beibei
巴南,banan
璧山,bishan
宾县,binxian
巴彦,bayan
拜泉,baiquan
北林区,beilinqu
北安,beian
勃利,boli
宝清,baoqing
白城,baicheng
白山,baishan
八道江,baishanqu
本溪,benxi
本溪满族,benximanzu
北镇,beizhen
鲅鱼圈,bayuquanqu
白塔,baita
北票,beipiao
包头,baotou
白云鄂博,baiyunebo
巴雅尔吐胡硕,bayaertuhushuo
巴林左旗,balinzuoqi
巴林右旗,balinyouqi
八里罕,balihan
宝国吐,baoguotu
巴彦淖尔,bayanzhuoer
博克图,boketu
保定,baoding
博野,boye
北市,beishiqu
霸州,bazhou
泊头,botou
柏乡,baixiang
北戴河,beidaihe
保德,bode
碑林,beilin
灞桥,baqiaoqu
彬州,binxian1
宝塔,baotaqu
白水,baishui
白河,baihe
宝鸡,baoji
博山,boshan
滨州,binzhou
博兴,boxing
滨城,binxianqu
白杨沟,baiyanggou
白碱滩,baijiantan
巴音布鲁克,bayinbuluke
博湖,bohu
巴仑台,baluntai
巴州,bazhou1
拜城,baicheng1
巴楚,bachu
巴里坤,balikun
布尔津,buerjin
博乐,bole
博州,bozhou
白朗,bailang
波密,bomi
巴宜,bayiqu
边坝,bianba
八宿,basu
班戈,bange
巴青,baqing
比如,biru
班玛,banma
白银,baiyin
白银,baiyinqu
北关,beiguanqu
宝丰,baofeng
博爱,boai
泌阳,biyang
白下,baixiaqu
北塘,beitangqu
滨湖,binhuqu
宝应,baoying
滨海,binhai
保康,baokang
巴东,badong
滨江,binjianqu
北仑,beilun
包河,baohequ
蚌埠,bengbu
蚌山,bengshanqu
八公山,bagong-mountainqu
博望,bowang
亳州,bozhou2
北湖,beihuqu
北塔,beitaqu
保靖,baojing
贵阳白云,guiyangbaiyun
碧江,bijiangqu
播州,bozhouqu
毕节,bijie
北川,beichuan
巴中,bazhong
布拖,butuo
宝兴,baoxing
白玉,baiyu
巴塘,batang
广州白云,baiyun
博罗,boluo
宝安,baoanqu
宾川,binchuan
保山,baoshan1
宾阳,binyang
八步,babu
博白,bobai
北流,beiliu
百色,baise
巴马,bama
北海,beihai
白沙黎族,baisha
保亭黎族苗族,baotinglizumiaozu
朝阳,chaoyang
昌平,changping
崇明,chongming
长宁,changningqu
重庆,chongqing
长寿,changshou
城口,chengkou
翠峦,cuiluanqu
城子河,chengzihequ
长春,changchun
朝阳,chaoyangqu
船营,chuanyingqu
昌邑,changyiqu
长岭,changling
长白,changbai
长海,changhai
昌图,changtu
朝阳,chaoyang1
朝阳,chaoyangxian
察右前旗,cahaeryouqian
察右中旗,chahaeryouzhong
察右后旗,chahaeryouhou
赤峰,chifeng
陈旗,chenqi
陈巴尔虎旗,chenbaerhu
长安,changanqu
赤城,chicheng
崇礼,chongli
承德,chengde
承德,chengdexian
曹妃甸,caofeidian
沧州,cangzhou
沧县,cangxian
成安,chengan
磁县,cixian
丛台,congtaiqu
昌黎,changli
城区,yangquanjiaoqu
长治,changzhi
长治,changzhixian
长安,changan
淳化,chunhua
长武,changwu
澄城,chengcheng
城固,chenggu
陈仓,chencang
长清,changqing
城阳,chengyangqu
长岛,changdao
昌乐,changle
昌邑,changyi
苍山,cangshan
曹县,caoxian
成武,chengwu
成山头,chengshantou
茌平,chiping
昌吉,changji
蔡家湖,caijiahu
察布查尔,chabuchaer
策勒,cele
拉萨城关,lasachengguanqu
错那,cuona
措美,cuomei
察隅,chayu
昌都,changdu
察雅,chaya
措勤,cuoqin
城东,chengdongqu
城西,chengxiqu
城北,chengbeiqu
西宁,xiningchengzhongqu
称多,chenduo
城关,chengguan
崇信,chongxin
成县,chengxian
长垣,changyuan
长葛,changge
瀍河回族,chanhequ
川汇,chuanhuiqu
崇安,chonganqu
常熟,changshu
沧浪,canglangqu
崇川,chongchuanqu
楚州,chuzhou
常州,changzhou
蔡甸,caidian
赤壁,chibi
崇阳,chongyang
长阳,changyang
淳安,chunan
长兴,changxing
慈溪,cixi
苍南,cangnan
常山,changshan
长丰,changfeng
巢湖,chaohu
滁州,chuzhou1
池州,chizhou
长乐,changle1
仓山,cangshanqu
城厢,chengxiang
崇武,chongwu
长泰,changtai
长汀,changting
崇仁,chongren
崇义,chongyi
昌江区,changjiangqu
长沙,changsha
长沙,changshaxian
茶陵,chaling
常宁,changning
郴州,chenzhou
常德,changde
城步,chengbu
慈利,cili
辰溪,chenxi
赤水,chishui
长顺,changshun
岑巩,cengong
从江,congjiang
册亨,ceheng
成都,chengdu
崇州,chongzhou
成华,chenghuaqu
船山,chuanshanqu
长宁,changning1
翠屏,cuipingqu
苍溪,cangxi
朝天,chaotianqu
从化,conghua
潮阳,chaoyang2
澄海,chenghai
潮南,chaonanqu
禅城,chanchengqu
赤坎,chikan
潮州,chaozhou
潮安,chaoan
城区,chengqu
呈贡,chenggong
昌宁,changningxian
澄江,chengjiang
楚雄,chuxiong
沧源,cangyuan
崇左,chongzuo
城中,chengzhongqu
苍梧,cangwu
岑溪,cenxi
长洲,changzhouqu
澄迈,chengmai
昌江,changjiang
大兴,daxing
东城,dongchengqu
东丽,dongli
大港,dagang
大渡口,dadukou
垫江,dianjiang
大足,dazu
道外,daowaiqu
道里,daoliqu
东宁,dongning
东安,donganqu
东风,dongfengqu
大兴安岭,daxinganling
带岭,dailingqu
大庆,daqing
杜尔伯特,duerbote
大同,daqingdatong
滴道,didaoqu
东山,dongshanqu
德惠,dehui
敦化,dunhua
东昌,dongchangqu
大安,daan
东丰,dongfeng
东辽,dongliao
东岗,donggang
大东,dadongqu
大连,dalian
丹东,dandong
东港,donggang1
大石桥,dashiqiao
东洲,dongzhouqu
灯塔,dengta
调兵山,diaobingshan
大洼,dawa
东河,donghequ
达茂旗,daerhanmaomingan
达拉特,dalate
东胜,dongsheng
磴口,dengkou
东乌旗,dongwuqi
多伦,duolun
东乌旗,dongwuzhumuqinqi
定州,dingzhou
定兴,dingxing
大城,dacheng
大厂,dachang
东光,dongguang
大名,daming
大同,datong
大同,datongxian
大宁,daning
定襄,dingxiang
代县,daixian
定边,dingbian
大荔,dali
丹凤,danfeng
德州,dezhou
德城,decheng
东平,dongping
岱岳,daiyuequ
东明,dongming
定陶,dingtao
东营,dongying
东营,dongyingqu
东港,donggangqu
